"AS OF DATE","PROCESSED DATE","SOURCE NAME 1","SOURCE NAME 2","FUND","MODEL","TYPE","DESCRIPTION","CATEGORY","SHARES","PRICE","TOTAL"
"2023-05-30","2023-05-30","EMPLOYEE 401(k)","","DODIX","5021","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","41.8070000000","12.320000","515.070"
"2023-06-01","2023-06-02","EMPLOYEE 401(k)","","DODIX","5021","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.8690000000","12.460000","10.830"
"2023-06-12","2023-06-12","EMPLOYEE 401(k)","","DODIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0110000000","12.410000","-0.140"
"2023-06-15","2023-06-16","EMPLOYEE 401(k)","","DODIX","5021","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2600000000","12.470000","3.240"
"2023-06-30","2023-06-30","EMPLOYEE 401(k)","","DODIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.4170000000","12.360000","5.150"
"2023-06-29","2023-06-30","EMPLOYEE 401(k)","","DODIX","5021","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.4390000000","12.310000","5.410"
"2025-01-23","2025-01-24","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2220000000","11.860000","2.630"
"2025-02-06","2025-02-10","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2190000000","12.000000","2.630"
"2025-02-12","2025-02-12","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.040000","-0.090"
"2025-01-09","2025-01-09","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.3670000000","11.730000","4.310"
"2024-12-12","2024-12-16","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2170000000","12.120000","2.630"
"2024-12-17","2024-12-17","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.5250000000","12.120000","6.360"
"2024-12-26","2024-12-30","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2260000000","11.660000","2.630"
"2025-01-09","2025-01-13","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2290000000","11.490000","2.630"
"2025-01-14","2025-01-14","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","11.470000","-0.090"
"2024-11-14","2024-11-18","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2170000000","12.130000","2.630"
"2024-11-15","2024-11-15","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.120000","-0.080"
"2024-11-27","2024-11-29","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2140000000","12.280000","2.630"
"2024-12-10","2024-12-10","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.350000","-0.090"
"2025-01-09","2025-01-09","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","1.8470000000","11.730000","21.660"
"2025-01-09","2025-01-09","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.1220000000","11.730000","1.430"
"2024-09-13","2024-09-13","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.660000","-0.090"
"2024-09-19","2024-09-23","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2050000000","12.800000","2.630"
"2024-10-03","2024-10-07","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2030000000","12.930000","2.630"
"2024-10-11","2024-10-11","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.800000","-0.090"
"2024-10-17","2024-10-21","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2060000000","12.790000","2.630"
"2024-10-31","2024-11-04","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2120000000","12.430000","2.630"
"2024-07-11","2024-07-12","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2100000000","12.500000","2.630"
"2024-07-25","2024-07-26","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2160000000","12.180000","2.630"
"2024-08-08","2024-08-09","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2170000000","12.110000","2.630"
"2024-08-13","2024-08-13","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0070000000","12.180000","-0.090"
"2024-08-22","2024-08-26","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2050000000","12.800000","2.630"
"2024-09-05","2024-09-09","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2110000000","12.490000","2.630"
"2025-01-23","2025-01-24","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","272.230000","4.870"
"2025-01-09","2025-01-13","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","255.980000","4.870"
"2024-06-28","2024-06-28","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","28.9950000000","12.090000","350.550"
"2024-07-11","2024-07-11","EMPLOYEE 401(k)","","SIGIX","5019","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0060000000","12.420000","-0.080"
"2024-06-27","2024-07-01","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2170000000","12.130000","2.630"
"2024-07-12","2024-07-12","EMPLOYEE 401(k)","","SIGIX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.9810000000","12.500000","12.270"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0590000000","225.700000","13.280"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0300000000","225.700000","6.710"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.1470000000","225.700000","33.240"
"2023-06-15","2023-06-16","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","227.200000","4.500"
"2023-06-29","2023-06-30","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0370000000","225.540000","8.440"
"2025-02-06","2025-02-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","271.910000","4.870"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0590000000","225.700000","13.340"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0300000000","225.700000","6.760"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.2360000000","225.700000","53.320"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.2380000000","225.700000","53.580"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0880000000","225.700000","19.820"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.1760000000","225.700000","39.740"
"2024-05-16","2024-05-20","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","259.540000","4.880"
"2024-05-30","2024-06-03","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","257.780000","4.880"
"2024-06-13","2024-06-14","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","254.460000","4.880"
"2024-06-27","2024-07-01","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","256.870000","4.870"
"2024-06-28","2024-06-28","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0130000000","257.150000","3.410"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.8080000000","225.700000","182.280"
"2024-08-08","2024-08-09","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","259.450000","4.870"
"2024-07-25","2024-07-26","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","261.730000","4.870"
"2024-07-11","2024-07-12","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","261.460000","4.870"
"2024-07-12","2024-07-12","EMPLOYEE 401(k)","","DOXGX","5019","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0010000000","261.460000","-0.310"
"2024-04-18","2024-04-22","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","248.830000","4.880"
"2024-05-06","2024-05-06","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","251.040000","4.880"
"2024-10-17","2024-10-21","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0170000000","279.440000","4.870"
"2024-10-03","2024-10-07","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","273.900000","4.870"
"2024-09-30","2024-09-30","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0110000000","270.080000","2.840"
"2024-09-19","2024-09-23","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","272.390000","4.870"
"2024-09-05","2024-09-09","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","264.080000","4.870"
"2024-08-22","2024-08-26","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","270.090000","4.870"
"2024-12-23","2024-12-23","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.1380000000","254.850000","35.090"
"2024-12-23","2024-12-23","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0100000000","254.840000","2.420"
"2025-01-09","2025-01-09","EMPLOYEE 401(k)","","DOXGX","5019","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0830000000","259.630000","-21.660"
"2024-11-27","2024-11-29","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0170000000","287.350000","4.870"
"2024-11-14","2024-11-18","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0170000000","280.760000","4.870"
